Timestamp	Name	Comment
2019/05/01 20:53:52.440	CCS.F8	Changed CCS.F8 RT Calpoint 1006.4 To 1079.617877853177 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:52.853	CCS.F8	Changed CCS.F8 LN2 Calpoint 1329.6 To 1293.618544108575 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:53.262	CCS.F8	Changed CCS.F8 LN2 Calpoint 1329.6 To 1293.5915916101173 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:53.670	CCS.F8	Changed CCS.F8 RT Calpoint 1006.4 To 1079.617834669957 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:54.125	CCS.F9	Changed CCS.F9 RT Calpoint 1036.3 To 1146.875367057372 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:54.567	CCS.F9	Changed CCS.F9 LHe Calpoint 3041.8 To 3395.468723010488 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:55.007	CCS.F9	Changed CCS.F9 LN2 Calpoint 1369.9 To 1203.6654657618756 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:55.479	CCS.F9	Changed CCS.F9 RT Calpoint 1036.3 To 1146.871042566317 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:55.920	CCS.F9	Changed CCS.F9 LHe Calpoint 3041.8 To 3395.468414558915 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:56.334	CCS.F9	Changed CCS.F9 LN2 Calpoint 1369.9 To 1203.6619740900678 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:56.748	CCS.F9	Changed CCS.F9 RT Calpoint 1036.3 To 1146.8739296730414 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:57.175	CCS.F9	Changed CCS.F9 LN2 Calpoint 1369.9 To 1203.6689512646515 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:57.591	CCS.F9	Changed CCS.F9 LHe Calpoint 3041.8 To 3395.468599629858 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:58.029	CCS.F10	Changed CCS.F10 LHe Calpoint 3948.5 To 3942.7917951881554 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:58.452	CCS.F10	Changed CCS.F10 LN2 Calpoint 1361.6 To 1200.094139420111 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:58.863	CCS.F10	Changed CCS.F10 LN2 Calpoint 1361.6 To 1200.1625971622457 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:59.274	CCS.F10	Changed CCS.F10 LHe Calpoint 3948.5 To 3942.7935842072798 From keeper_data_original_20190501204142.pk
2019/05/01 20:53:59.692	CCS.F10	Changed CCS.F10 RT Calpoint 1008.4 To 1130.7656570018507 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:00.150	CCS.F10	Changed CCS.F10 LN2 Calpoint 1361.6 To 1200.1585687847007 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:00.581	CCS.F10	Changed CCS.F10 RT Calpoint 1008.4 To 1130.7640160394817 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:00.985	CCS.F10	Changed CCS.F10 LHe Calpoint 3948.5 To 3942.788525601481 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:01.394	CCS.F10	Changed CCS.F10 RT Calpoint 1008.4 To 1130.7624059222703 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:01.813	CCS.S3	Changed CCS.S3 LN2 Calpoint 1306.9 To 1316.2282665021592 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:02.252	CCS.S3	Changed CCS.S3 LHe Calpoint 3339.2 To 3383.564836520666 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:02.672	CCS.S3	Changed CCS.S3 LN2 Calpoint 1306.9 To 1316.2445589142503 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:03.092	CCS.S3	Changed CCS.S3 RT Calpoint 987.6 To 1067.0990808143122 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:03.516	CCS.S3	Changed CCS.S3 RT Calpoint 987.6 To 1067.0990561381861 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:03.935	CCS.S3	Changed CCS.S3 LN2 Calpoint 1306.9 To 1316.236446637878 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:04.351	CCS.S3	Changed CCS.S3 LHe Calpoint 3339.2 To 3383.5647131400374 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:04.815	CCS.S3	Changed CCS.S3 RT Calpoint 987.6 To 1067.099049969155 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:05.231	CCS.S3	Changed CCS.S3 LHe Calpoint 3339.2 To 3383.564836520666 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:05.700	CCS.F11	Changed CCS.F11 RT Calpoint 917.6 To 1067.0990561381861 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:06.133	CCS.F11	Changed CCS.F11 LN2 Calpoint 1225.5 To 1316.2445589142503 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:06.542	CCS.F11	Changed CCS.F11 RT Calpoint 917.6 To 1067.099049969155 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:07.013	CCS.F11	Changed CCS.F11 LHe Calpoint 3363.5 To 3383.564836520666 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:07.417	CCS.F11	Changed CCS.F11 LHe Calpoint 3363.5 To 3383.5647131400374 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:07.822	CCS.F11	Changed CCS.F11 RT Calpoint 917.6 To 1067.0990808143122 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:08.228	CCS.F11	Changed CCS.F11 LN2 Calpoint 1225.5 To 1316.2282665021592 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:08.642	CCS.F11	Changed CCS.F11 LN2 Calpoint 1225.5 To 1316.236446637878 From keeper_data_original_20190501204142.pk
2019/05/01 20:54:09.047	CCS.F11	Changed CCS.F11 LHe Calpoint 3363.5 To 3383.564836520666 From keeper_data_original_20190501204142.pk
